Key,Context,en-US,pt-BR
question.stats.totalQuestions,question.stats,Total Questions,Total de Perguntas
question.title,question,Questions Management,Gerenciamento de Perguntas
question.types.customized,question.types,Custom,Personalizada
question.types.goodBad,question.types,Good/Bad,Bom/Ruim
question.types.oneToTen,question.types,1-10,1-10
question.types.openAnswer,question.types,Open,Aberta
question.types.star3,question.types,★★★,★★★
question.types.star5,question.types,★★★★★,★★★★★
question.types.yesNo,question.types,Yes/No,Sim/Não
sizes.ENTERPRISE,sizes,Enterprise,Grande Porte
sizes.LARGE,sizes,Large,Grande
sizes.MEDIUM,sizes,Medium,Média
sizes.MICRO,sizes,Micro,Microempresa
sizes.SMALL,sizes,Small,Pequena
team.columns.department,team.columns,Department,Departamento
team.columns.description,team.columns,Description,Descrição
team.columns.name,team.columns,Team Name,Nome do Time
team.errors.deleteFailed,team.errors,Failed to delete team. Please try again.,"Falha ao excluir time. Por favor, tente novamente."
team.errors.loadFailed,team.errors,Failed to load teams. Please try again.,"Falha ao carregar times. Por favor, tente novamente."
team.filters.allDepartments,team.filters,All Departments,Todos os Departamentos
team.form.buttons.create,team.form.buttons,Create,Criar
team.form.buttons.creating,team.form.buttons,Creating...,Criando...
team.form.buttons.update,team.form.buttons,Update,Atualizar
team.form.buttons.updating,team.form.buttons,Updating...,Atualizando...
team.form.editTitle,team.form,Edit Team,Editar Time
team.form.fields.department,team.form.fields,Department,Departamento
team.form.fields.description,team.form.fields,Description,Descrição
team.form.fields.name,team.form.fields,Team Name,Nome do Time
team.form.newTitle,team.form,New Team,Novo Time
team.form.placeholders.description,team.form.placeholders,Enter team description (optional),Digite a descrição do time (opcional)
team.form.placeholders.selectDepartment,team.form.placeholders,Select a department...,Selecione um departamento...
team.form.placeholders.teamName,team.form.placeholders,Enter team name,Digite o nome do time
team.form.validation.departmentRequired,team.form.validation,Department is required,Departamento é obrigatório
team.form.validation.nameRequired,team.form.validation,Team name is required,Nome do time é obrigatório
team.messages.noDepartment,team.messages,No Department,Sem Departamento
team.messages.noDescription,team.messages,No description,Sem descrição
team.messages.noTeamsFound,team.messages,No teams found,Nenhum time encontrado
team.plural,team,Teams,Times
team.search.placeholder,team.search,Search teams...,Buscar times...
team.singular,team,Team,Time
team.title,team,Team Management,Gerenciamento de Times
